City ID,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
103,puerto leguizamo,CO,-0.1934,-74.7819,75.13,65,96,2.82,02-01-2022
104,santiago del estero,AR,-27.7951,-64.2615,75.15,46,97,3.51,02-01-2022
105,hasaki,JP,35.7333,140.8333,50.4,43,98,5.01,02-01-2022
106,brae,GB,60.3964,-1.353,48.11,80,100,36.37,02-01-2022
107,charleston,US,32.7766,-79.9309,40.3,98,75,0.0,02-01-2022
108,vanavara,RU,60.34,102.2797,-0.36,90,95,2.26,02-01-2022
109,xiangfan,CN,32.0422,112.1448,45.95,31,51,4.76,02-01-2022
110,esperance,AU,-33.8667,121.9,66.78,51,52,18.52,02-01-2022
111,kharagpur,IN,22.3333,87.3333,75.31,33,7,5.73,02-01-2022
112,namibe,AO,-15.1961,12.1522,69.64,75,99,7.9,02-01-2022
113,kavieng,PG,-2.5744,150.7967,79.25,87,98,15.64,02-01-2022
114,padang,ID,-0.9492,100.3543,86.05,80,82,4.92,02-01-2022
115,ballyshannon,IE,54.5,-8.1833,50.61,93,100,23.44,02-01-2022
116,upernavik,GL,72.7868,-56.1549,-23.37,99,95,6.08,02-01-2022
117,batemans bay,AU,-35.7167,150.1833,79.54,45,100,7.27,02-01-2022
118,putina,PE,-15.4667,-69.4333,42.75,87,100,4.34,02-01-2022
119,alyangula,AU,-13.8483,136.4192,88.36,64,34,14.38,02-01-2022
120,shache,CN,38.4167,77.2406,33.3,28,76,0.98,02-01-2022
121,timra,SE,62.487,17.3257,11.88,85,100,9.22,02-01-2022
122,alta gracia,AR,-31.6529,-64.4283,63.99,69,0,5.01,02-01-2022
123,buluang,PH,13.3068,123.3425,83.59,71,35,4.16,02-01-2022
124,ostrovnoy,RU,68.0531,39.5131,15.66,94,100,3.56,02-01-2022
125,bambous virieux,MU,-20.3428,57.7575,80.85,78,75,14.97,02-01-2022
126,guilin,CN,25.2819,110.2864,44.71,82,95,7.09,02-01-2022
127,guerrero negro,MX,27.9769,-114.0611,60.01,77,12,11.05,02-01-2022
128,mar del plata,AR,-38.0023,-57.5575,59.5,65,0,3.0,02-01-2022
129,nizhniy tsasuchey,RU,50.5167,115.1333,1.11,76,17,10.18,02-01-2022
130,cayenne,GF,4.9333,-52.3333,80.1,85,100,5.99,02-01-2022
131,tarbagatay,RU,51.4803,107.3602,-9.87,90,98,2.68,02-01-2022
132,lasa,IT,46.6166,10.7002,31.3,94,100,8.79,02-01-2022
133,kalispell,US,48.1958,-114.3129,24.22,80,100,3.44,02-01-2022
134,taos,US,36.4072,-105.5731,24.78,44,0,1.01,02-01-2022
135,dikson,RU,73.5069,80.5464,1.63,90,100,20.71,02-01-2022
136,la rioja,ES,42.25,-2.5,35.38,97,100,13.94,02-01-2022
137,okhotsk,RU,59.3833,143.3,9.57,79,99,13.6,02-01-2022
138,jamestown,US,42.097,-79.2353,21.52,68,0,5.75,02-01-2022
139,sur,OM,22.5667,59.5289,77.9,43,0,3.76,02-01-2022
140,port blair,IN,11.6667,92.75,80.64,65,40,9.22,02-01-2022
141,yumbe,UG,3.4651,31.2469,71.26,48,58,0.78,02-01-2022
142,benemerito de las americas,MX,16.5167,-90.6439,63.37,99,11,0.78,02-01-2022
143,ulladulla,AU,-35.35,150.4667,87.49,51,86,7.27,02-01-2022
144,tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,20,2.3,02-01-2022
145,barrow,US,71.2906,-156.7887,-14.78,76,100,5.75,02-01-2022
146,aljezur,PT,37.3191,-8.8033,50.43,52,0,6.38,02-01-2022
147,praia da vitoria,PT,38.7333,-27.0667,58.75,84,99,16.75,02-01-2022
148,aklavik,CA,68.2191,-135.0107,-6.77,98,100,2.46,02-01-2022
149,yar-sale,RU,66.8333,70.8333,-16.94,99,41,6.15,02-01-2022
150,bluff,NZ,-46.6,168.3333,62.69,83,100,13.24,02-01-2022
151,berlevag,NO,70.8578,29.0864,24.8,73,37,11.01,02-01-2022
152,narsaq,GL,60.9167,-46.05,25.02,97,94,2.53,02-01-2022
153,morro bay,US,35.3658,-120.8499,53.2,73,100,5.99,02-01-2022
154,boa vista,BR,2.8197,-60.6733,78.78,73,0,9.22,02-01-2022
155,ambovombe,MG,-25.1667,46.0833,77.7,68,30,9.46,02-01-2022
156,oranjemund,NA,-28.55,16.4333,65.5,92,14,6.46,02-01-2022
157,husavik,IS,66.0449,-17.3389,22.91,84,100,25.86,02-01-2022
158,viedma,AR,-40.8135,-62.9967,71.51,23,3,19.06,02-01-2022
159,victoria point,AU,-27.5833,153.3,89.24,74,34,3.0,02-01-2022
160,mabaruma,GY,8.2,-59.7833,70.43,98,100,2.51,02-01-2022
161,haines junction,CA,60.7522,-137.5108,-31.05,68,33,1.14,02-01-2022
162,talnakh,RU,69.4865,88.3972,4.21,96,99,9.35,02-01-2022
163,havelock,US,34.8791,-76.9013,36.16,89,10,6.31,02-01-2022
164,port moresby,PG,-9.4431,147.1797,76.42,88,75,11.5,02-01-2022
165,beringovskiy,RU,63.05,179.3167,8.94,95,100,12.12,02-01-2022
166,avarua,CK,-21.2078,-159.775,78.85,83,100,10.36,02-01-2022
167,kingston,JM,17.997,-76.7936,72.9,83,40,1.01,02-01-2022
168,chimbote,PE,-9.0853,-78.5783,69.6,85,88,4.36,02-01-2022
169,mezhdurechenskiy,RU,59.6,65.9333,-3.91,98,71,3.85,02-01-2022
170,statesville,US,35.7826,-80.8873,33.39,63,0,5.75,02-01-2022
171,mareeba,AU,-17.0,145.4333,85.41,77,63,4.21,02-01-2022
172,sinnamary,GF,5.3833,-52.95,75.42,90,100,8.81,02-01-2022
173,solvychegodsk,RU,61.3305,46.9156,10.71,94,75,7.85,02-01-2022
174,san cristobal,VE,7.7669,-72.225,68.18,84,97,2.19,02-01-2022
175,lavrentiya,RU,65.5833,-171.0,-2.16,81,19,11.59,02-01-2022
176,cherskiy,RU,68.75,161.3,-4.4,88,100,5.95,02-01-2022
177,akureyri,IS,65.6835,-18.0878,22.93,80,100,6.91,02-01-2022
178,kem,RU,64.9555,34.5793,15.31,95,100,7.83,02-01-2022
179,mercedes,AR,-34.6515,-59.4307,58.95,51,7,5.79,02-01-2022
180,sarakhs,IR,36.5449,61.1577,50.14,50,75,18.41,02-01-2022
181,port lincoln,AU,-34.7333,135.8667,65.73,56,40,21.27,02-01-2022
182,trairi,BR,-3.2778,-39.2689,76.08,84,83,6.26,02-01-2022
183,yulara,AU,-25.2406,130.9889,73.24,88,75,13.8,02-01-2022
184,sibolga,ID,1.7427,98.7792,82.29,78,47,3.8,02-01-2022
185,bengkulu,ID,-3.8004,102.2655,84.63,67,76,8.7,02-01-2022
186,chokurdakh,RU,70.6333,147.9167,-13.61,96,100,1.88,02-01-2022
187,nhulunbuy,AU,-12.2333,136.7667,90.21,62,40,19.57,02-01-2022
188,iqaluit,CA,63.7506,-68.5145,-29.31,73,20,4.61,02-01-2022
189,cabedelo,BR,-6.9811,-34.8339,79.47,75,29,7.7,02-01-2022
190,jiwani,PK,25.05,61.7417,73.51,58,0,2.46,02-01-2022
191,carnarvon,AU,-24.8667,113.6333,87.87,58,27,18.41,02-01-2022
